 JULDAY,   TIME,    DE1,    DE2,    DE3,    DE4,    DE5,    DE6,    DE7,    DE8,    DE9,   DE10
258.,    120.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1638.93,   1638.89
258.,    180.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1631.72,   1632.93
258.,    240.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1627.32,   1629.00
258.,    300.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1624.34,   1626.15
258.,    360.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1622.05,   1623.95
258.,    420.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1619.98,   1622.11
258.,    480.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1618.14,   1620.48
258.,    540.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1616.22,   1618.96
258.,    600.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1614.24,   1617.45
258.,    660.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1611.90,   1615.88
258.,    720.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1608.09,   1613.93
258.,    780.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1605.47,   1611.94
258.,    840.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1602.93,   1610.04
258.,    900.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1601.16,   1608.33
258.,    960.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1599.67,   1606.83
258.,   1020.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1598.36,   1605.49
258.,   1080.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1597.49,   1604.32
